Sender,Message,Date,Timestamp,Flirt_Label,Predicted_Flirt_Label,Predicted_Flirt,Hour,Media_Flag,Missed_Call_Flag
Anna,"Funny fact Nobody teaches volcanoes 2 erupt, tsunamis 2 arise, hurricanes 2 sway aroundn no 1 teaches hw 2 choose a wife Natural disasters just happens",2025-02-02,2025-02-02 21:07:00,0,0,Not Flirt,21,0,0
Anna,"I sent my scores to sophas and i had to do secondary application for a few schools. I think if you are thinking of applying, do a research on cost also. Contact joke ogunrinde, her school is one me the less expensive ones",2025-10-10,2025-10-10 13:39:00,0,0,Not Flirt,13,0,0
Isaac,"We know someone who you know that fancies you. Call 09058097218 to find out who. POBox 6, LS15HB 150p",2025-08-28,2025-08-28 00:48:00,0,0,Not Flirt,0,0,0
Anna,Only if you promise your getting out as SOON as you can. And you'll text me in the morning to let me know you made it in ok.,2025-06-10,2025-06-10 09:03:00,0,0,Not Flirt,9,0,0
Isaac,Congratulations ur awarded either Ã¥Â£500 of CD gift vouchers & Free entry 2 our Ã¥Â£100 weekly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16,2025-06-08,2025-06-08 05:44:00,0,0,Not Flirt,5,0,0
Anna,"I'll text carlos and let you know, hang on",2025-11-10,2025-11-10 10:26:00,0,0,Not Flirt,10,0,0
Anna,K.i did't see you.:)k:)where are you now?,2025-02-01,2025-02-01 16:11:00,0,0,Not Flirt,16,0,0
Anna,No message..no responce..what happend?,2025-09-12,2025-09-12 15:21:00,0,0,Not Flirt,15,0,0
Anna,Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.,2025-03-15,2025-03-15 19:15:00,0,0,Not Flirt,19,0,0
Anna,You flippin your shit yet?,2025-02-04,2025-02-04 16:14:00,0,0,Not Flirt,16,0,0
Anna,For real tho this sucks. I can't even cook my whole electricity is out. And I'm hungry.,2025-07-12,2025-07-12 07:44:00,0,0,Not Flirt,7,0,0
Isaac,Free tones Hope you enjoyed your new content. text stop to 61610 to unsubscribe. help:08712400602450p Provided by tones2you.co.uk,2025-12-23,2025-12-23 02:38:00,0,0,Not Flirt,2,0,0
Anna,I'm wif him now buying tix lar...,2025-09-26,2025-09-26 15:18:00,0,0,Not Flirt,15,0,0
Anna,Call me when u finish then i come n pick u.,2025-10-05,2025-10-05 21:29:00,0,0,Not Flirt,21,0,0
Anna,Dear how is chechi. Did you talk to her,2025-09-19,2025-09-19 23:21:00,0,0,Not Flirt,23,0,0
Anna,What's up. Do you want me to come online?,2025-10-14,2025-10-14 23:38:00,0,0,Not Flirt,23,0,0
Anna,Were somewhere on Fredericksburg,2025-07-07,2025-07-07 11:45:00,0,0,Not Flirt,11,0,0
Isaac,"URGENT! Your mobile was awarded a Ã¥Â£1,500 Bonus Caller Prize on 27/6/03. Our final attempt 2 contact U! Call 08714714011",2025-02-17,2025-02-17 01:15:00,0,0,Not Flirt,1,0,0
Anna,When can Ã_ come out?,2025-11-03,2025-11-03 13:28:00,0,0,Not Flirt,13,0,0
Anna,"K, if u bored up just come to my home..",2025-06-14,2025-06-14 13:46:00,0,0,Not Flirt,13,0,0
Anna,Can Ã_ call me at 10:10 to make sure dat i've woken up...,2025-07-02,2025-07-02 19:04:00,0,0,Not Flirt,19,0,0
Anna,Boy; I love u Grl: Hogolo Boy: gold chain kodstini Grl: Agalla Boy: necklace madstini Grl: agalla Boy: Hogli 1 mutai eerulli kodthini! Grl: I love U kano;-),2025-05-16,2025-05-16 13:13:00,1,1,Flirt,13,0,0
Anna,A bloo bloo bloo I'll miss the first bowl,2025-03-08,2025-03-08 21:40:00,1,1,Flirt,21,0,0
Anna,"Yeah sure, give me a couple minutes to track down my wallet",2025-12-05,2025-12-05 07:02:00,0,0,Not Flirt,7,0,0
Isaac,"This is the 2nd time we have tried 2 contact u. U have won the Ã¥Â£750 Pound prize. 2 claim is easy, call 087187272008 NOW1! Only 10p per minute. BT-national-rate.",2025-10-13,2025-10-13 08:16:00,0,0,Not Flirt,8,0,0
Anna,No it was cancelled yeah baby! Well that sounds important so i understand my darlin give me a ring later on this fone love Kate x,2025-08-24,2025-08-24 03:06:00,1,1,Flirt,3,0,0
Anna,Its not the same here. Still looking for a job. How much do Ta's earn there.,2025-05-28,2025-05-28 01:55:00,0,0,Not Flirt,1,0,0
Anna,"Gud gud..k, chikku tke care.. sleep well gud nyt",2025-10-28,2025-10-28 08:48:00,0,0,Not Flirt,8,0,0
Anna,I'll reach in ard 20 mins ok...,2025-07-19,2025-07-19 05:35:00,0,0,Not Flirt,5,0,0
Anna,Wat Ã_ doing now?,2025-06-12,2025-06-12 00:45:00,0,0,Not Flirt,0,0,0
Anna,Done it but internet connection v slow and canÂÃÃ·t send it. Will try again later or first thing tomo.,2025-06-14,2025-06-14 14:25:00,0,0,Not Flirt,14,0,0
Anna,Yup. Izzit still raining heavily cos i'm in e mrt i can't c outside.,2025-03-25,2025-03-25 04:47:00,0,0,Not Flirt,4,0,0
